Sequence Count, Start Location, End Location 
0,385284,385284,
0,385361,385361,
0,385438,385438,
0,385515,385515,
0,385592,385592,
0,385669,385669,
0,385746,385746,
0,385823,385823,
0,385900,385900,
0,385977,385977,
0,386054,386054,
0,386131,386131,
0,386208,386208,
0,386285,386285,
0,386362,386362,
0,386439,386439,
0,386516,386516,
0,386593,386593,
0,386670,386670,
0,394183,394183,
0,395807,395807,
0,396241,396241,
0,397169,397169,
0,398448,398448,
0,398637,398637,
0,401794,401794,
0,404878,404878,
0,409590,409590,
0,410188,410188,
0,410946,410946,
0,411029,411029,
0,412122,412122,
0,414758,414758,
0,416244,416244,
0,417203,417203,
0,418189,418189,
0,418569,418569,
0,418584,418584,
0,419026,419026,
0,419911,419911,
0,420534,420534,
0,420994,420994,
0,423421,423421,
0,423655,423655,
0,426624,426624,
0,427564,427564,
0,428680,428680,
0,432936,432936,
0,433605,433605,
0,435445,435445,
0,436853,436853,
0,436955,436955,
0,437059,437059,
0,437322,437322,
0,437675,437675,
0,438083,438083,
0,439490,439490,
0,439507,439507,
0,439543,439543,
0,440436,440436,
0,441470,441470,
0,444415,444415,
0,444541,444541,
0,445984,445984,
0,447690,447690,
0,449047,449047,
0,449273,449273,
0,450378,450378,
0,450472,450472,
0,450588,450588,
0,451917,451917,
0,452131,452131,
0,452196,452196,
0,453492,453492,
0,453500,453500,
0,453703,453703,
0,454133,454133,
0,454157,454157,
0,455155,455155,
0,456065,456065,
0,456659,456659,
0,456914,456914,
0,457774,457774,
0,458518,458518,
0,459442,459442,
0,460280,460280,
0,461176,461176,
0,461195,461195,
0,461231,461231,
0,461885,461885,
0,463504,463504,
0,464667,464667,
0,465315,465315,
0,466177,466177,
0,467210,467210,
0,468263,468263,
0,468493,468493,
0,521601,521601,
0,522255,522255,
0,522291,522291,
0,522310,522310,
0,523206,523206,
0,524044,524044,
0,524955,524955,
0,526551,526551,
0,526806,526806,
0,527713,527713,
0,528623,528623,
0,528849,528849,
0,529645,529645,
0,530075,530075,
0,530278,530278,
0,530286,530286,
0,531233,531233,
0,531582,531582,
0,531647,531647,
0,531861,531861,
0,533046,533046,
0,533173,533173,
0,534112,534112,
0,534342,534342,
0,535698,535698,
0,536984,536984,
0,538373,538373,
0,538499,538499,
0,541435,541435,
0,542464,542464,
0,543357,543357,
0,543393,543393,
0,543410,543410,
0,546101,546101,
0,546454,546454,
0,546821,546821,
0,546923,546923,
0,547027,547027,
0,547131,547131,
0,547235,547235,
0,547339,547339,
0,547443,547443,
0,547547,547547,
0,547649,547649,
0,547751,547751,
0,549159,549159,
0,550999,550999,
0,551668,551668,
0,555244,555244,
0,555924,555924,
0,557040,557040,
0,557980,557980,
0,560947,560947,
0,561181,561181,
0,563598,563598,
0,564058,564058,
0,565468,565468,
0,565948,565948,
0,566617,566617,
0,567347,567347,
0,567562,567562,
0,567569,567569,
0,567768,567768,
0,568546,568546,
0,568609,568609,
0,568667,568667,
0,569710,569710,
0,571440,571440,
0,571883,571883,
0,571898,571898,
0,572278,572278,
0,573264,573264,
0,574219,574219,
0,575706,575706,
0,578342,578342,
0,579436,579436,
0,579519,579519,
0,580277,580277,
0,580876,580876,
0,585590,585590,
0,591816,591816,
0,592005,592005,
0,592316,592316,
0,593286,593286,
0,594214,594214,
0,594648,594648,
0,596272,596272,
0,601634,601634,
0,603597,603597,
0,603720,603720,
0,603796,603796,
0,603948,603948,
0,604025,604025,
0,604102,604102,
0,604179,604179,
0,604255,604255,
0,604332,604332,
0,604409,604409,
0,604486,604486,
0,604563,604563,
0,604640,604640,
0,604717,604717,
0,604794,604794,
0,604871,604871,
0,604948,604948,
0,605025,605025,
0,605102,605102,
0,605179,605179,
0,605256,605256,
0,605432,605432,
0,606035,606035,
0,608403,608403,
0,608973,608973,
0,610116,610116,
0,613862,613862,
0,615716,615716,
0,617639,617639,
0,618465,618465,
0,618606,618606,
0,620092,620092,
0,621379,621379,
0,621718,621718,
0,623586,623586,
0,626053,626053,
0,627405,627405,
0,628273,628273,
0,629054,629054,
0,630707,630707,
0,633631,633631,
0,633774,633774,
0,635297,635297,
0,636388,636388,
0,639022,639022,
0,640589,640589,
0,642527,642527,
0,647085,647085,
0,649206,649206,
0,651624,651624,
0,651771,651771,
0,653377,653377,
0,656073,656073,
0,657014,657014,
0,658662,658662,
0,659562,659562,
0,659796,659796,
0,660598,660598,
0,661132,661132,
0,661396,661396,
0,662120,662120,
0,664525,664525,
0,667395,667395,
0,667423,667423,
0,667483,667483,
0,668490,668490,
0,670801,670801,
0,670829,670829,
0,670889,670889,
0,671896,671896,
0,674212,674212,
0,674240,674240,
0,674300,674300,
0,675312,675312,
0,676190,676190,
0,677321,677321,
0,679301,679301,
0,680244,680244,
0,683853,683853,
0,689332,689332,
0,689724,689724,
0,690650,690650,
0,691956,691956,
0,692316,692316,
0,692974,692974,
0,697268,697268,
0,699926,699926,
0,700215,700215,
0,700295,700295,
0,701703,701703,
0,702317,702317,
0,703962,703962,
0,704052,704052,
0,705880,705880,
0,706356,706356,
0,708955,708955,
0,709391,709391,
0,711763,711763,
0,712738,712738,
0,714020,714020,
0,714070,714070,
0,714095,714095,
0,714475,714475,
0,716244,716244,
0,716377,716377,
0,717126,717126,
0,717484,717484,
0,718571,718571,
0,719147,719147,
0,720219,720219,
0,721889,721889,
0,727852,727852,
0,729338,729338,
0,729631,729631,
0,732126,732126,
0,733407,733407,
0,735829,735829,
0,735983,735983,
0,736414,736414,
0,737984,737984,
0,740302,740302,
0,741102,741102,
0,742723,742723,
0,745279,745279,
0,746100,746100,
0,748084,748084,
0,748507,748507,
0,749855,749855,
0,751579,751579,
0,752453,752453,
0,752564,752564,
0,752672,752672,
0,752695,752695,
0,752746,752746,
0,753222,753222,
0,754107,754107,
0,754508,754508,
0,754905,754905,
0,755208,755208,
0,757038,757038,
0,759843,759843,
0,760558,760558,
0,760911,760911,
0,762447,762447,
0,762911,762911,
0,762936,762936,
0,765530,765530,
0,766118,766118,
0,766570,766570,
0,768549,768549,
0,769250,769250,
0,769889,769889,
0,770389,770389,
0,771638,771638,
0,772807,772807,
0,773992,773992,
0,774921,774921,
0,775765,775765,
0,777635,777635,
0,777887,777887,
0,778791,778791,
0,778870,778870,
0,780396,780396,
0,780720,780720,
0,782673,782673,
0,784176,784176,
0,784729,784729,
0,785801,785801,
0,786487,786487,
0,786993,786993,
0,787397,787397,
0,788901,788901,
0,788950,788950,
0,788999,788999,
0,789048,789048,
0,789097,789097,
0,790024,790024,
0,790747,790747,
0,790906,790906,
0,791053,791053,
0,791290,791290,
0,792048,792048,
0,792327,792327,
0,792653,792653,
0,792952,792952,
0,793951,793951,
0,794032,794032,
0,794229,794229,
0,794621,794621,
0,795972,795972,
0,796064,796064,
0,796327,796327,
0,796683,796683,
0,797624,797624,
0,799000,799000,
0,799521,799521,
0,800082,800082,
0,801594,801594,
0,801818,801818,
0,801849,801849,
0,801895,801895,
0,801975,801975,
0,801993,801993,
0,802024,802024,
0,802042,802042,
0,802073,802073,
0,802091,802091,
0,802122,802122,
0,802140,802140,
0,802171,802171,
0,802189,802189,
0,802220,802220,
0,802238,802238,
0,802269,802269,
0,802287,802287,
0,802318,802318,
0,802336,802336,
0,802385,802385,
0,802416,802416,
0,802465,802465,
0,802483,802483,
0,802514,802514,
0,802532,802532,
0,802563,802563,
0,803077,803077,
0,804431,804431,
0,806520,806520,
0,808583,808583,
0,808747,808747,
0,809106,809106,
0,810097,810097,
0,811999,811999,
0,816073,816073,
0,816118,816118,
0,817723,817723,
0,818121,818121,
0,818133,818133,
0,818678,818678,
0,821032,821032,
0,821247,821247,
0,821498,821498,
0,824368,824368,
0,826456,826456,
0,826847,826847,
0,828008,828008,
0,829922,829922,
0,832358,832358,
0,833346,833346,
0,833513,833513,
0,833895,833895,
0,834281,834281,
0,834294,834294,
0,834881,834881,
0,835234,835234,
0,835612,835612,
0,835765,835765,
0,836216,836216,
0,838784,838784,
0,838875,838875,
0,839892,839892,
0,839952,839952,
0,839968,839968,
0,839990,839990,
0,840072,840072,
0,840088,840088,
0,840110,840110,
0,840273,840273,
0,840412,840412,
0,840440,840440,
0,840468,840468,
0,840610,840610,
0,840683,840683,
0,840943,840943,
0,841038,841038,
0,841066,841066,
0,841144,841144,
0,841319,841319,
0,842203,842203,
0,842582,842582,
0,846150,846150,
0,846425,846425,
0,846555,846555,
0,846856,846856,
0,846888,846888,
0,848356,848356,
0,849153,849153,
0,849206,849206,
0,849239,849239,
0,849774,849774,
0,850869,850869,
0,850935,850935,
0,854242,854242,
0,854809,854809,
0,854950,854950,
0,855162,855162,
0,855656,855656,
0,855875,855875,
0,856108,856108,
0,856522,856522,
0,856880,856880,
0,857014,857014,
0,857221,857221,
0,858546,858546,
0,859869,859869,
0,860194,860194,
0,860690,860690,
0,861720,861720,
0,861885,861885,
0,864142,864142,
0,864581,864581,
0,864927,864927,
0,865008,865008,
0,865026,865026,
0,866436,866436,
0,868600,868600,
0,870627,870627,
0,871032,871032,
0,871539,871539,
0,872368,872368,
0,872411,872411,
0,872454,872454,
0,873857,873857,
0,874962,874962,
0,875344,875344,
0,876228,876228,
0,877563,877563,
0,878684,878684,
0,878708,878708,
0,879316,879316,
0,879420,879420,
0,879819,879819,
0,879914,879914,
0,880371,880371,
0,882252,882252,
0,882476,882476,
0,882488,882488,
0,882545,882545,
0,883044,883044,
0,884282,884282,
0,885028,885028,
0,885221,885221,
0,885440,885440,
0,885496,885496,
0,885506,885506,
0,885552,885552,
0,885651,885651,
0,885999,885999,
0,886330,886330,
0,886739,886739,
0,887079,887079,
0,887536,887536,
0,887575,887575,
0,887965,887965,
0,888683,888683,
0,888881,888881,
0,888896,888896,
0,890139,890139,
0,890774,890774,
0,892061,892061,
0,892779,892779,
0,892796,892796,
0,893286,893286,
0,893363,893363,
0,893413,893413,
0,894055,894055,
0,895890,895890,
0,896855,896855,
0,897036,897036,
0,897363,897363,
0,897384,897384,
0,897766,897766,
0,897820,897820,
0,898136,898136,
0,898251,898251,
0,898555,898555,
0,898669,898669,
0,898772,898772,
0,899328,899328,
0,899334,899334,
0,899733,899733,
0,899808,899808,
0,900637,900637,
0,900657,900657,
0,901598,901598,
0,901824,901824,
0,902467,902467,
0,904436,904436,
0,904520,904520,
0,904749,904749,
0,904799,904799,
0,904910,904910,
0,904924,904924,
0,904986,904986,
0,905028,905028,
0,905226,905226,
0,905249,905249,
0,905287,905287,
0,905370,905370,
0,905425,905425,
0,905480,905480,
0,906219,906219,
0,906737,906737,
0,907084,907084,
0,907960,907960,
0,909236,909236,
0,910458,910458,
0,911634,911634,
0,911912,911912,
0,913682,913682,
0,913697,913697,
0,913727,913727,
0,914255,914255,
0,914542,914542,
0,915214,915214,
0,916094,916094,
0,916174,916174,
0,917547,917547,
0,918070,918070,
0,918455,918455,
0,918748,918748,
0,919216,919216,
0,919261,919261,
0,919279,919279,
0,919680,919680,
0,920224,920224,
0,920620,920620,
0,920639,920639,
0,921136,921136,
0,921437,921437,
0,922103,922103,
0,924774,924774,
0,926840,926840,
0,927311,927311,
0,927471,927471,
0,927490,927490,
0,928576,928576,
0,928805,928805,
0,931656,931656,
0,931805,931805,
0,931937,931937,
0,932069,932069,
0,932200,932200,
0,933548,933548,
0,933588,933588,
0,933699,933699,
0,934011,934011,
0,934357,934357,
0,934701,934701,
0,936228,936228,
0,936256,936256,
0,936300,936300,
0,936322,936322,
0,936486,936486,
0,936642,936642,
0,936978,936978,
0,937664,937664,
0,941442,941442,
0,941897,941897,
0,941952,941952,
0,942118,942118,
0,942450,942450,
0,942458,942458,
0,942552,942552,
0,943016,943016,
0,943063,943063,
0,943102,943102,
0,944753,944753,
0,946874,946874,
0,947090,947090,
0,947342,947342,
0,948298,948298,
0,948828,948828,
0,953105,953105,
0,953596,953596,
0,955110,955110,
0,955683,955683,
0,955719,955719,
0,955739,955739,
0,957310,957310,
0,962650,962650,
0,962846,962846,
0,964670,964670,
0,967006,967006,
0,967560,967560,
0,968451,968451,
0,968465,968465,
0,970786,970786,
0,973256,973256,
0,973277,973277,
0,973886,973886,
0,975008,975008,
0,975034,975034,
0,975055,975055,
0,975993,975993,
0,976574,976574,
0,977461,977461,
0,978666,978666,
0,979031,979031,
0,979056,979056,
0,979089,979089,
0,979793,979793,
0,979833,979833,
0,979921,979921,
0,980099,980099,
0,980235,980235,
0,980709,980709,
0,980902,980902,
0,981087,981087,
0,982978,982978,
0,983177,983177,
0,983255,983255,
0,983421,983421,
0,983561,983561,
0,983600,983600,
0,985002,985002,
0,985463,985463,
0,986670,986670,
0,986870,986870,
0,986888,986888,
0,986893,986893,
0,987132,987132,
0,987199,987199,
0,988391,988391,
0,988567,988567,
0,988581,988581,
0,988632,988632,
0,988652,988652,
0,988880,988880,
0,989542,989542,
0,990279,990279,
0,990982,990982,
0,991328,991328,
0,991713,991713,
0,991729,991729,
0,991761,991761,
0,991795,991795,
0,991811,991811,
0,991827,991827,
0,991877,991877,
0,991887,991887,
0,991943,991943,
0,992047,992047,
0,992117,992117,
0,994155,994155,
0,995931,995931,
0,996196,996196,
0,997402,997402,
0,997709,997709,
0,998709,998709,
0,998979,998979,
0,998987,998987,
0,1001175,1001175,
0,1001370,1001370,
0,1003168,1003168,
0,1003528,1003528,
0,1004351,1004351,
0,1004607,1004607,
0,1004681,1004681,
0,1004840,1004840,
0,1004948,1004948,
0,1005198,1005198,
0,1005827,1005827,
0,1007462,1007462,
0,1007729,1007729,
0,1008118,1008118,
0,1008692,1008692,
0,1010138,1010138,
0,1010208,1010208,
0,1010323,1010323,
0,1014923,1014923,
0,1015238,1015238,
0,1015380,1015380,
0,1015571,1015571,
0,1015600,1015600,
0,1015694,1015694,
0,1015735,1015735,
0,1016682,1016682,
0,1017244,1017244,
0,1017546,1017546,
0,1018349,1018349,
0,1018753,1018753,
0,1019115,1019115,
0,1019463,1019463,
0,1021354,1021354,
0,1022641,1022641,
0,1024478,1024478,
0,1026833,1026833,
0,1028485,1028485,
0,1029055,1029055,
0,1029215,1029215,
0,1030379,1030379,
0,1030538,1030538,
0,1031168,1031168,
0,1031824,1031824,
0,1034147,1034147,
0,1035929,1035929,
0,1036285,1036285,
0,1038794,1038794,
0,1039238,1039238,
0,1042914,1042914,
0,1045787,1045787,
0,1045885,1045885,
0,1046050,1046050,
0,1046085,1046085,
0,1046254,1046254,
0,1046782,1046782,
0,1047226,1047226,
0,1047233,1047233,
0,1047440,1047440,
0,1047702,1047702,
0,1049180,1049180,
0,1050011,1050011,
0,1050050,1050050,
0,1051308,1051308,
0,1052346,1052346,
0,1052948,1052948,
0,1052996,1052996,
0,1053617,1053617,
0,1055241,1055241,
0,1056651,1056651,
0,1057125,1057125,
0,1057265,1057265,
0,1058334,1058334,
0,1059214,1059214,
0,1059692,1059692,
0,1059729,1059729,
0,1059738,1059738,
0,1059808,1059808,
0,1060079,1060079,
0,1062482,1062482,
0,1063301,1063301,
0,1064811,1064811,
0,1065719,1065719,
0,1066741,1066741,
0,1066746,1066746,
0,1066757,1066757,
0,1067142,1067142,
0,1067168,1067168,
0,1067499,1067499,
0,1068656,1068656,
0,1068664,1068664,
0,1069032,1069032,
0,1069057,1069057,
0,1070958,1070958,
0,1071189,1071189,
0,1072115,1072115,
0,1072258,1072258,
0,1073423,1073423,
0,1073686,1073686,
0,1074508,1074508,
0,1074630,1074630,
0,1075118,1075118,
0,1075179,1075179,
0,1075606,1075606,
0,1075667,1075667,
0,1075728,1075728,
0,1075789,1075789,
0,1075972,1075972,
0,1076033,1076033,
0,1077056,1077056,
0,1077388,1077388,
0,1078136,1078136,
0,1078410,1078410,
0,1081096,1081096,
0,1081498,1081498,
0,1083289,1083289,
0,1083562,1083562,
0,1083664,1083664,
0,1084100,1084100,
0,1084146,1084146,
0,1085163,1085163,
0,1086967,1086967,
0,1087431,1087431,
0,1089443,1089443,
0,1089661,1089661,
0,1090707,1090707,
0,1091157,1091157,
0,1091745,1091745,
0,1091817,1091817,
0,1094397,1094397,
0,1094728,1094728,
0,1095523,1095523,
0,1096500,1096500,
0,1096631,1096631,
0,1097653,1097653,
0,1098722,1098722,
0,1098991,1098991,
0,1099330,1099330,
0,1099650,1099650,
0,1099925,1099925,
0,1101075,1101075,
0,1101347,1101347,
0,1102129,1102129,
0,1102707,1102707,
0,1102940,1102940,
0,1103234,1103234,
0,1103798,1103798,
0,1105257,1105257,
0,1105752,1105752,
0,1106869,1106869,
0,1107615,1107615,
0,1107705,1107705,
0,1107876,1107876,
0,1108889,1108889,
0,1109724,1109724,
0,1110014,1110014,
0,1112480,1112480,
0,1112494,1112494,
0,1115053,1115053,
0,1116557,1116557,
0,1119341,1119341,
0,1119667,1119667,
0,1120436,1120436,
0,1121446,1121446,
0,1121455,1121455,
0,1121787,1121787,
0,1124126,1124126,
0,1125953,1125953,
0,1130116,1130116,
0,1131003,1131003,
0,1131443,1131443,
0,1131638,1131638,
0,1131687,1131687,
0,1131843,1131843,
0,1134305,1134305,
0,1135056,1135056,
0,1136913,1136913,
0,1138328,1138328,
0,1142885,1142885,
0,1143709,1143709,
0,1143893,1143893,
0,1144937,1144937,
0,1145519,1145519,
0,1145907,1145907,
0,1146776,1146776,
0,1147668,1147668,
0,1148827,1148827,
0,1149055,1149055,
0,1149087,1149087,
0,1149794,1149794,
0,1150803,1150803,
0,1152074,1152074,
0,1152196,1152196,
0,1153180,1153180,
0,1154443,1154443,
0,1154841,1154841,
0,1154895,1154895,
0,1154902,1154902,
0,1155192,1155192,
0,1156342,1156342,
0,1156535,1156535,
0,1156890,1156890,
0,1157457,1157457,
0,1157550,1157550,
0,1157989,1157989,
0,1158228,1158228,
0,1158351,1158351,
0,1158426,1158426,
0,1158447,1158447,
0,1158497,1158497,
0,1158731,1158731,
0,1158915,1158915,
0,1159500,1159500,
0,1159659,1159659,
0,1159921,1159921,
0,1160734,1160734,
0,1161026,1161026,
0,1161034,1161034,
0,1161313,1161313,
0,1161362,1161362,
0,1161381,1161381,
0,1161865,1161865,
0,1161942,1161942,
0,1163722,1163722,
0,1164382,1164382,
0,1164457,1164457,
0,1164483,1164483,
0,1164509,1164509,
0,1164536,1164536,
0,1164563,1164563,
0,1164853,1164853,
0,1165308,1165308,
0,1166690,1166690,
0,1167046,1167046,
0,1167491,1167491,
0,1167893,1167893,
0,1167924,1167924,
0,1168095,1168095,
0,1168311,1168311,
0,1168383,1168383,
0,1168416,1168416,
0,1168587,1168587,
0,1168963,1168963,
0,1168983,1168983,
0,1169123,1169123,
0,1169454,1169454,
0,1170477,1170477,
0,1171044,1171044,
0,1171877,1171877,
0,1174354,1174354,
0,1174798,1174798,
0,1175378,1175378,
0,1176131,1176131,
0,1177068,1177068,
0,1177426,1177426,
0,1177610,1177610,
0,1177930,1177930,
0,1178044,1178044,
0,1178084,1178084,
0,1178440,1178440,
0,1178487,1178487,
0,1178826,1178826,
0,1179537,1179537,
0,1180030,1180030,
0,1181873,1181873,
0,1185307,1185307,
0,1185316,1185316,
0,1185480,1185480,
0,1186513,1186513,
0,1186708,1186708,
0,1188347,1188347,
0,1190608,1190608,
0,1190797,1190797,
0,1192383,1192383,
0,1192473,1192473,
0,1193305,1193305,
0,1193399,1193399,
0,1194367,1194367,
0,1194433,1194433,
0,1194470,1194470,
0,1194505,1194505,
0,1194637,1194637,
0,1194682,1194682,
0,1194738,1194738,
0,1195326,1195326,
0,1195964,1195964,
0,1199682,1199682,
0,1200305,1200305,
0,1200451,1200451,
0,1200559,1200559,
0,1201426,1201426,
0,1203385,1203385,
0,1203595,1203595,
0,1204436,1204436,
0,1205163,1205163,
0,1206157,1206157,
0,1206980,1206980,
0,1209719,1209719,
0,1210171,1210171,
0,1210629,1210629,
0,1212493,1212493,
0,1213331,1213331,
0,1213616,1213616,
0,1214687,1214687,
0,1215134,1215134,
0,1215358,1215358,
0,1215703,1215703,
0,1217657,1217657,
0,1218085,1218085,
0,1221125,1221125,
0,1221495,1221495,
0,1221653,1221653,
0,1222219,1222219,
0,1222528,1222528,
0,1226865,1226865,
0,1227230,1227230,
0,1227287,1227287,
0,1227306,1227306,
0,1228369,1228369,
0,1228747,1228747,
0,1229533,1229533,
0,1229678,1229678,
0,1229933,1229933,
0,1230145,1230145,
0,1231283,1231283,
0,1232141,1232141,
0,1232161,1232161,
0,1232223,1232223,
0,1232265,1232265,
0,1232281,1232281,
0,1232325,1232325,
0,1232449,1232449,
0,1232481,1232481,
0,1232527,1232527,
0,1232573,1232573,
0,1232661,1232661,
0,1232707,1232707,
0,1232753,1232753,
0,1232799,1232799,
0,1232887,1232887,
0,1232933,1232933,
0,1232979,1232979,
0,1233025,1233025,
0,1233071,1233071,
0,1233111,1233111,
0,1233157,1233157,
0,1234022,1234022,
0,1234272,1234272,
0,1235033,1235033,
0,1236408,1236408,
0,1236785,1236785,
0,1236848,1236848,
0,1237135,1237135,
0,1237980,1237980,
0,1238204,1238204,
0,1238615,1238615,
0,1239494,1239494,
0,1240242,1240242,
0,1240938,1240938,
0,1241302,1241302,
0,1242238,1242238,
0,1242340,1242340,
0,1242533,1242533,
0,1242698,1242698,
0,1243645,1243645,
0,1244082,1244082,
0,1244131,1244131,
0,1244202,1244202,
0,1244566,1244566,
0,1244886,1244886,
0,1245272,1245272,
0,1245707,1245707,
0,1246000,1246000,
0,1246396,1246396,
0,1248776,1248776,
0,1250290,1250290,
